Time (s),Time (s)2,Data Rate (kbps),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s),Time (s),Time (s),Data Rate (kbps)5,avg_OSD.flyTime [s]6,Distance (m)7,Height (m)8,Speed - x (m/s)9,Speed - y (m/s)10,Speed - z (m/s)11,Speed (m/s)
251,260,2755.9,251.45,17.449,17.28,0,0,0.96,0.96,263,265,879.752,263.75,42.41,49.7,0.275,0.3,0,0.406970515
252,260,2810.85,252.45,17.435,16.33,0,0,0.98,0.98,264,265,179.864,264.4888889,42.51333333,49.63333333,-0.044444444,0.011111111,0,0.045812284
253,260,2702.69,253.45,17.438,15.29,0,0,0.97,0.97,265,265,238.664,265.45,42.534,49.6,-0.03,0,0,0.03
254,260,3055.36,254.45,17.428,14.35,0,0,0.93,0.93,266,265,48.432,266.45,42.492,49.6,0,0,0,0
255,260,2969.1,255.45,17.425,13.35,0,0,0.99,0.99,267,265,266.216,267.45,42.465,49.6,0,0,0,0
256,260,3050.83,256.45,17.405,12.35,0,0,0.94,0.94,268,270,1111.9,268.65,42.335,49.6,-0.133333333,-0.083333333,0,0.157233018
257,260,2977.1,257.45,17.39,11.39,0,0,0.91,0.91,269,270,310.688,269.45,42.022,49.6,-0.42,-0.31,0,0.522015325
258,260,2963.94,258.45,17.414,10.45,0,0,0.96,0.96,270,270,198.016,270.45,41.285,49.63,-0.96,-0.68,0,1.176435294
259,260,2290.85,259.45,17.07,9.47,1.2,0.69,0.94,1.673230409,271,270,68.264,271.45,40.608,49.73,-0.22,-0.16,0,0.27202941
260,260,2469.91,260.45,15.603,8.47,2.07,0.54,0.98,2.353061835,272,270,87.56,272.45,40.439,49.7,0,0,0,0
261,270,2801.47,261.45,13.596,7.48,1.96,-0.89,0.88,2.325532197,273,275,119.12,273.45,40.437,49.7,0,0,0,0
262,270,2650.6,262.4777778,11.05222222,6.588888889,1.866666667,-1.677777778,0.922222222,2.673925307,274,275,1112.78,274.44,40.5,49.72,0,0,0,0
263,270,1402.88,263.45,8.499,5.59,2.12,-1.26,0.97,2.650075471,275,275,1258.58,275.5285714,40.52142857,49.7,0,0,0,0
264,270,2857.79,264.45,6.199,4.61,1.3,-0.53,0.87,1.65160528,276,275,1035.05,276.4444444,40.59666667,49.7,0,0,0,0
265,270,3301.23,265.45,5.116,3.73,1.48,0.06,0.77,1.66940109,277,275,1100.83,277.45,40.607,49.7,0,0,0,0
266,270,3014.88,266.45,3.555,2.9,1.91,0.08,0.73,2.046313759,278,280,1134.05,278.45,40.598,49.7,0,0,0,0
267,270,3135.75,267.45,2.196,2.08,0.89,-0.83,0.74,1.424289296,279,280,1141.38,279.45,40.633,49.76,0,0,0,0
268,270,3169.71,268.45,1.391,1.26,0.11,-0.09,0.67,0.684908753,280,280,1413.94,280.45,40.664,49.7,0,-0.04,0,0.04
269,270,3086.42,269.45,1.448,0.59,0,0,0.65,0.65,281,280,1460.07,281.45,40.02125,49.7,-0.35,-1.4,0,1.443086969
270,270,3072.34,270.45,1.418,-0.02,0,0,0.52,0.52,282,280,1196.93,282.45,37.481,49.66,-0.86,-3.17,0,3.28458521
271,280,2928.55,271.45,1.27,-0.37,0,0,0.11,0.11,283,285,810.664,283.45,33.373,49.61,-1.14,-4.5,0,4.642154672
272,280,3029.48,272.45,1.202,-0.4,0.24,-0.47,0,0.527730992,284,285,1542.91,284.45,28.225,49.58,-1.3,-5.22,-0.01,5.379451645
273,280,3305.62,273.45,0.701,-0.4,0.02,-0.14,0,0.141421356,285,285,868.224,285.45,22.985,49.54,-1.21,-4.88,0,5.027772867
274,280,2564.2,274.45,0.79,-0.43,0,0,0.15,0.15,286,285,1150.63,286.45,18.25,49.69,-1.11,-4.34,0,4.479698651
275,280,2922.32,275.45,0.751,-0.6,0.08,0.05,0.05,0.106770783,287,285,931.624,287.45,14.07,49.81,-1,-3.75,0,3.881043674
276,280,3106.01,276.45,0.711,-0.6,0.11,0.04,0,0.117046999,288,290,1505.34,288.45,10.46,49.8,-0.83,-3.21,0,3.315569333
277,280,2715.78,277.45,0.7,-0.6,0,0,0,0,289,290,1909.05,289.45,7.398,49.8,-0.67,-2.66,0,2.743082208
278,280,2850.42,278.45,0.704,-0.6,0,0,0,0,290,290,1404.24,290.45,4.912,49.8,-0.56,-2.12,0,2.192715212
279,280,2935.62,279.45,0.711,-0.66,0,0,0.04,0.04,291,290,1917.42,291.45,3.018,49.8,-0.39,-1.53,0,1.578923684
280,280,2900.62,280.45,0.722,-0.7,0,0,0,0,292,290,2001.55,292.45,1.741,49.78,-0.19,-0.94,0,0.959009906
281,290,2946.82,281.45,0.823,-0.7,0,0,0,0,293,295,2388.22,293.45,1.092,49.7,-0.05,-0.37,0,0.373363094
282,290,3156.77,282.45,0.908,-0.7,0,0,0,0,294,295,1372,294.45,0.825,49.71,0,-0.15,0,0.15
283,290,2667.29,283.45,1.025,-0.7,0.3,0.2,0,0.360555128,295,295,1956.28,295.45,0.615,49.7,0,-0.1,0,0.1
284,290,3142.05,284.45,1.569,-0.7,0.47,0.24,0,0.527730992,296,295,1945.66,296.45,0.481,49.7,0,-0.1,0,0.1
285,290,2930.51,285.45,1.633,-0.7,0.02,0,0,0.02,297,295,2357.33,297.4666667,0.366666667,49.7,0,-0.1,0,0.1
286,290,2792.31,286.45,1.801,-0.7,0,0,0,0,298,300,1118.37,298.45,0.241,49.78,0,-0.09,0,0.09
287,290,2961.38,287.45,2.135,-0.7,0,0,0,0,299,300,1786.09,299.45,0.215,49.71,0,0,0,0
288,290,2871.47,288.45,2.315,-0.7,0,0,0,0,300,300,1601.63,300.45,0.311,49.7,0,0,0,0
289,290,2963.42,289.45,2.411,-0.8,0,0,0.16,0.16,301,300,1114.53,301.45,0.43,49.71,0,0,0,0
290,290,3357.9,290.45,2.502,-1.05,0,0,0.12,0.12,302,300,883.872,302.45,0.573,49.73,0,0,0,0
,,,,,,,,,,303,305,1281.26,303.45,0.723,49.65,-0.01,0,0.06,0.060827625
,,,,,,,,,,304,305,1618.9,304.45,0.782,49.3,0,0.06,0.85,0.852115016
,,,,,,,,,,305,305,1166.93,305.45,0.865,47.95,0,0.1,1.85,1.852700731
,,,,,,,,,,306,305,1203.28,306.45,0.963,45.49,0.02,0.06,2.82,2.820709131
,,,,,,,,,,307,305,1829.76,307.45,1,42.48,0.01,0,2.93,2.930017065
,,,,,,,,,,308,310,1959.98,308.45,0.995,39.49,0,-0.04,2.94,2.940272096
,,,,,,,,,,309,310,2555.21,309.45,0.999,36.52,-0.01,-0.02,2.75,2.750090908
,,,,,,,,,,310,310,1014.22,310.45,0.969,33.8,-0.01,0,2.53,2.530019763
,,,,,,,,,,311,310,2389.98,311.45,0.956,31.33,0,0,2.33,2.33
,,,,,,,,,,312,310,2218.32,312.45,0.902,29.03,0,0,2.16,2.16
,,,,,,,,,,313,315,2556.64,313.45,0.876,26.9,0,0,2.02,2.02
,,,,,,,,,,314,315,2587.37,314.45,0.832,24.97,0,0,1.86,1.86
,,,,,,,,,,315,315,1655.56,315.45,0.789,23.11,0,0,1.72,1.72
,,,,,,,,,,316,315,2198.15,316.4,0.758888889,21.47777778,0.022222222,0,1.6,1.600154314
,,,,,,,,,,317,315,1435.29,317.45,0.763,19.77,0,0,1.44,1.44
,,,,,,,,,,318,320,1437.86,318.5,0.792222222,18.27777778,0,0,1.4,1.4
,,,,,,,,,,319,320,1350.85,319.45,0.811,16.96,0,0,1.4,1.4
,,,,,,,,,,320,320,2178.25,320.45,0.791,15.52,0,0,1.35,1.35
,,,,,,,,,,321,320,1101.57,321.45,0.763,14.21,0,0,1.3,1.3
,,,,,,,,,,322,320,2330.48,322.45,0.754,12.96,0,0,1.21,1.21
,,,,,,,,,,323,325,2105.39,323.45,0.733,11.63,0,0,1.21,1.21
,,,,,,,,,,324,325,1919.32,324.45,0.718,10.32,0,0,1.2,1.2
,,,,,,,,,,325,325,1095.52,325.45,0.712,9.07,0,0,1.13,1.13
,,,,,,,,,,326,325,1959,326.45,0.725,7.88,0,0,1.1,1.1
,,,,,,,,,,327,325,2175.32,327.45,0.758,6.82,0.02,0,1.08,1.080185169
,,,,,,,,,,328,330,2473.78,328.45,0.781,5.75,0.01,0,1.01,1.010049504
,,,,,,,,,,329,330,2250.78,329.45,0.778,4.65,0,0,1.01,1.01
,,,,,,,,,,330,330,2526.33,330.45,0.797,3.55,0,0,1,1
,,,,,,,,,,331,330,3098.9,331.45,0.827,2.5,0,0,1,1
,,,,,,,,,,332,330,3230.2,332.45,0.853,1.52,0,0,0.9,0.9
,,,,,,,,,,333,335,3759.54,333.45,0.822,0.93,0,0,0.2,0.2
,,,,,,,,,,334,335,3413.18,334.45,0.841,0.79,0,0,0.15,0.15
,,,,,,,,,,335,335,3437.79,335.45,0.841,0.58,0,0,0.14,0.14
,,,,,,,,,,336,335,3003.98,336.45,0.823,0.4,0,0,0.13,0.13
,,,,,,,,,,337,335,3438.71,337.45,0.799,0.21,0,0,0.17,0.17
,,,,,,,,,,338,340,3301.96,338.45,0.813,0.03,0,0,0.16,0.16
,,,,,,,,,,339,340,3615.66,339.45,0.825,-0.06,0,0,0.14,0.14
,,,,,,,,,,340,340,3043.27,340.45,0.803,-0.24,0,0,0.1,0.1
,,,,,,,,,,341,340,3713.98,341.45,0.781,-0.41,0,0,0.13,0.13
,,,,,,,,,,342,340,2872.14,342.4111111,0.767777778,-0.6,0,0,0.144444444,0.144444444
,,,,,,,,,,343,345,3571.28,343.45,0.722,-0.79,0,0,0.17,0.17
,,,,,,,,,,344,345,2809.62,344.45,0.693,-1,0,0,0.14,0.14
,,,,,,,,,,345,345,1139.67,345.45,0.677,-1.16,0,0,0.1,0.1
